연번,용어명,용어설명,유사용어
11,가용매장량,채탄·채석이 가능하고 원석 제품으로 생산할 수 있는 매장량을 말한다.,可用埋藏量
12,가우스,"기호 G. 독일의 수학자이며 전자기학의 발전에 공헌이 큰 K.F. 가우스의 이름을 딴 것이다. 1Mx(맥스웰)의 자기력선속이 1cm2의 넓이를 통과할 때의 자기력선속밀도와 같다. 흔히 자기장의 세기의 단위 Oe(에르스텟)과 혼용되는데, 진공 속에서는 자기력선속밀도가 1G일 때 자기장의 세기는 1Oe이라는 관계가 있다. 1G=10-4T(테슬라)이며, 자기력선속밀도의 MKSA단위인Wb/m2 (웨버매제곱미터)와의 관계는 1G=10-4 Wb/m2이다.",Gauss
13,가이거 뮐러 계수기,가이거 계수기보다 한 단계 앞선 카운터로서 방사능 원소를 함유한 광물을 쉽게 탐지한다.,Geiger Muller counter
14,가이거계수기,방사능 탐광에 사용되는 방사능 측정 조사용구.,Geiger counter
15,가이드,갱도 굴착시 키블을 올릴 때 그대로 올리면 옆으로 흔들려 갱내에 있는 지주와 맞닿는 위험이 있으므로 두가닥으로 된 가이드줄(Guide line)을 달아 놓는다.,Guide
16,가채광량,매장광량 중 채광할 수 있는 광석의 중량을 말한다.,"可採鑛量,Minableore"
17,가채원광량,채광에 의해 출광되는 원광의 중량 즉 가채광량과 혼입되는 폐석과의 합계를 말한다.,"可採原鑛量,Minable crudeore"
18,가채율,매장량에 대해 채광할 수 있는 광량의 비율을 말한다.,"可採率,Mining recovery"
19,가채품위,가채광량에 대응하는 품위를 말한다.,"可採品位,Grade of minable"
20,가행가치평가,석탄생산에 있어 직결되는 직접비용 부분의 생산성지표(채탄 능율)와 수입에 변화를 주는 상품의 질(탄질)을 공식화하여 구역별 가행가치를 상대적으로 평가하는 것이다. 산출식은｛채탄능률×(원탄질+선탄향상치)｝/300 이다.,稼行價値評價
21,가행년수,"매장된 광물을 채취하는데 소요되는 연수를 말하며, 매장량, 채취량, 운반량, 판매량, 설비 등 여러 조건에 의해 변동되는 가변성이 있다. 가행년수=총생산량/개발부존면적 또는 개발편수×개발가능 부존면적 또는 개발 가능편수 연생산규모",加行年數
22,가행채굴폭,가행탄층 중에 있는 석탄부의 두께를 말한다.,"稼行採掘幅,Working thickness of coal seam"
23,가행탄층폭,가행탄층 중에 있는 석탄부의 두께를 말한다.,"稼行炭層幅,Working thickness of coal in coal"
24,각주,기둥의 다른말. 특히 네모난 기둥을 말함.,角柱
25,간접부,"직접부를 지원 또는 보조하는 작업원으로 기계, 전기, 운반등에 종사하는 작업원을 말한다.",間接夫
26,갈탄,"6300BTU/1b 이하의 탄. 석탄을 그 형성 과정에 의해 분류할 때 이탄과 아역청탄 사이에 해당된다. 경상북도 영일지역 제3기 지층에는 약간의 갈탄이 부존되어있으나 생산은 하지 않고 있다. lignite은 동의의. 탄소의 양이 적고 갈색을 띄고 있어 갈탄이라 부른다. 생성당시의 식물구조가 보이는 것이 있으며, 탈 때 냄새가 심하고 연기가 많이 나며 주로 연료용으로 사용한다.","褐炭, Brown coal"
27,감마(γ)선,"원자가 분열할 때 방출되는 입자와 전자파로서 알파(α), 베타(β), 그리고 감마선(γ)으로 구성되어 있다. 이 중 감마선은 전자파의 일종이다.",
28,감열소염제,"가스의 연쇄 반응을 늦추거나 방지하기 위해 사용한다. 연소할 때 반응열을 낮추고, 불꽃을 줄이는 효과가 있으며, 감열소염제로는 염화나트륨이 많이 사용되고 있다.",感熱疏髥制
29,갑종탄광,광산 보안상 광산을 구분하여 일반 광산과 석탄 광산으로 하고 석탄광산은 이를 다시 갑종 탄광과 을종 탄광으로 구분한다. (가) 주요 배기 정도의 기류중에 가스 함유물이 0.25%이상. (나) 채탄 작업의 기류중에 가연성 가스 함유물이 1%이상일 것. (다) 통기시설의 운전을 1시간 정지할 경우 함유율이 3%이상의 가연성 가스가 통행 갱도 또는 채탄 작업장에서 검출된 것.,甲種炭鑛
30,강도율,재해자로 인하여 발생한 작업 손실일수를 가동연시간으로 환산한 재해율을 말한다. 강도율=손실일수/가동연시간×103,强度率
31,강면화약,1845년에 발명되었다. 질소의 함유량에 따라 강면화약 (N=13%이상)과 약면화약(N=12%이상)으로 구분한다.,강면火藥
32,강성철재지보,"지보가 받는 반압을 표준으로 한 분류법에는 강성 지보와 가축성 지보가 있는데, 강성 지보는 구조가 견고하고 압축 작용을 하지 않는 지보이며, 암반을 지지함으로써 암반의 움직임을 직접 막도록 되어 있다. 따라서, 반압이 작을 때에는 이 지보로 지지되어 암석은 움직이지 않고, 갱도도 당초의 형상대로 유지된다.",强性鐵材支保
33,강자성물질,"니켈, 코발트, 자철광과 같이 자장으로부터 밖으로 내어 놓아도 오랫동안 자성을 잃지 않는 물질을 말한다. 강자성은 자성이 강한 것으로서, 이것을 이용하여 광물을 충분히 선별할 수 있다.",强磁性物質
34,개갱,"지하에 매장되어 있는 광석이나 석탄을 채굴하려면 지표에다 갱구를 설치하고, 이 갱구로부터 직접 광석을 채광하는 막장까지 갱도를 시설해야 한다. 이 갱도가 있어야만 사람이 통행할 수 있고, 여러 가지 자재와 채굴한 광석을 운반할 수 있으며, 갱내에서 필요한 신선한 공기를 들여보낼 수도 있기 때문이다. 개갱은 이와 같은 목적으로 갱구로부터 막장까지에 이르는 여러 가지 갱도를 계획하고 굴진하는 것을 말하며, 광산 개발에 있어 서 매우 중요한 작업 과정이라 할 수 있다.",開坑
35,개갱계수,"광산의 개갱계획에 있어서 암석갱도의 굴착이 생산계획에서 어느 정도인가를 표시하는 지표로, 갱도연장으로 표시하는 방법(m/1000톤)과 굴착량으로 표시하는 방법(m3/1000톤)이 있다.","開坑計數,Development factor"
36,개발가능성조사,기초조사후 부존 광물에 대하여 규모와 품위 등 개발 경제성을 파악하기 위한 조사를 말한다.,開發可能性調査
37,갱구,"지표에서 갱도로 들어가는 입구. 갱도가 수평갱(水平坑)인가 사갱(斜坑)인가 또는 수갱(竪坑)인가에 따라 각각 통동(通洞)갱구 ·사(斜)갱구 ·수(竪)갱구라 한다. 이 곳은 갱내에서 채굴된 광석 ·석탄을 반출하거나 갱내에 항상 신선한 공기를 공급하는 통로가 된다. 2개 이상의 갱구가 있어서, 한쪽 갱구는 입기(入氣)갱구로, 다른 쪽은 배기(排氣)갱구의 역할을 한다.","坑口,pit mouth"
38,갱내갱정법,"무지지 채굴법의 하나로서 광석과 모암이 견고하고 큰 괴상의 광체에 적용된다. 채굴 방법은 하부 갱도로부터 광체 내에 수직 또는 경사되게 레이즈를 굴진하여 이를 갱정으로 하고, 상부에서 사방으로 수평 채굴을 하는 동시에 하향 계단식 채굴법과 같이 하부로 진행해 가는 채굴 방법이다.",坑內坑井法
39,갱내근로,"광산, 굴, 터널 등의 지하작업을 말하며, 갱내작업에 종사하는 근로자를 일반적으로 갱내공 또는 갱내부라고 일컫는다. 이 갱내작업에는 굴삭굴진, 채굴, 지보공, 발파, 운반, 충전, 배수 등의 종류가 있다. 갱내 작업은 갱외작업에 비하여 육체적·정신적으로 중노동이기 때문에 근로기준법은 여 자와 18세 미만 자의 갱내작업을 금지시키고 있다.(근로기준법 제70조)",坑內勤勞
40,갱내분진,"광산 ·탄광의 갱내에서 채굴, 갱도의 굴진(掘進), 운반 기타 작업에 수반하여 발생하는 분진.갱내분진 중의 주된 것은 탄진 (炭塵)과 암석분진이다. 탄진은 주로 석탄의 채굴, 연층갱도(沿層坑道)의 굴진, 석탄의 적재 ·운반 도중에 바꾸어 싣기 등에서 발생한다. 탄진은 갱내기류 중에 떠다니거나 또는 갱도 안에 쌓여서 폭발 및 폭발의 전파에 관계한다. 암석분진은 광석의 채굴, 암석갱도의 굴진 같은 작업에 수반하여 발생하고, 공기 속에 부유한다. 이러한 분진은 광물 ·암석 ·석탄 등이 미세하게 분쇄되어 생긴 미립자로서, 크기는 1μm 이하~수십 μm까지 광범위하다. 발생하는 분진의 양, 기류 중에 떠도는 분진의 농도는 작업의 종류 ·지속시간, 공기의 유입량 ·속도, 암석 ·석탄의 성질 등에 따라 다르다. 부유분진 중의 규산질(硅酸質) 분진은 호흡기관을 침범하여 규폐증(硅肺症)을 일으키기도 한다. 탄진 발생 방지에 쓰이는 방법은 탄진 발생장소에 분수막을 만들거나, 탄진이 적재된 장소에 물을 뿌리든가, 또는 채탄에 들어가기 전에 탄층 내에 압력수를 주입하여 석탄을 적시는 탄벽주수법 등의 방법이 이용된다. 암석분진 방지책은 착암기에 물을 통하게 한 습식으로 발생한 분진을 적셔서 부유하지 못하게 하거나, 그대로 흘려보내는 습식착암법이 일반적으로 이용된다. 그 외에 발파작업 중에 발생하는 분진을 막기 위해 분진이 날아가는 방향에 분수막(噴水幕)을 치는 방법, 집진기(集塵器)로 분진을 흡수하는 방법, 작업자에게 분진마스크를 착용시키는 방법 등이 있다.","坑內粉塵,mine dust"
41,갱내수,"갱 안에 물이 생기는 원인은 첫째, 지하수가 단층이나 균열을 따라 갱 안으로 출수 되는 경우와, 둘째, 지표의 하천수나 빗물이 지하 채굴로 인하여 생긴 암반의 균열이나 채굴적을 따라 갱안으로 침수되는 경우이고, 셋째, 폐갱도나 채굴된 공동에 고여 있던 물이 하부 채굴 때에 갑자기 출수되는 경우 등으로서, 이와 같은 갱내 출수를 그대로 방치할 수는 없다. 그러므로, 갱 안에서 갱 밖으로 퍼내야 하며, 이 갱내수의 배출 작업을 배수라 한다.",坑內水
42,갱내운반,"광산 ·탄광의 막장이나 기타 작업장에서 광석 ·폐석 ·필요 자재 등을 갱구 또는 반대 방향으로 운반하는 것을 말한다. 넓은 뜻으로는 갱내외로의 승강을 위한 인원의 수송도 포함된다. 수평갱도의 기관차 운반, 엔드리스 운반, 사갱의 코스 권양운반(捲揚運搬), 스킵 권양운반, 수갱(竪坑)의 케이지 권양운반 등이 있다.","坑內運搬,underground transportation"
43,갱내조명,"광산의 갱내 작업장은 항상 어둡기 때문에 충분한 조명이 되지 않으면 사고가 일어나기 쉬울 뿐 아니라, 종업원의 시신경이 피로하게 되는 등 신체상으로도 많은 장애를 일으키게 된다. 휴대용에는 아세틸렌등과 전기 안전등이 사용되고, 고정용으로는 전등이 사용된다. 아세틸렌등은 전기 안전등에 비하면 조도와 광도가 나쁘고 사용상 불편하나, 값이 싸기 때문에 금속 광산이나 석탄광 이외의 비금속 광산에서 많이 사용하고 있지만, 석탄광에서는 갱내의 폭발성 가스 때문에 이의 사용을 금지하고 있다.",坑內照明
44,갱내지질도,갱내에 있어서 지질 상황을 표시하는 그림을 말한다.,"坑內地質圖,Underground geological map"
45,갱내채굴,"갱도를 뚫고 들어가 지하의 광상 ·탄층에 도달하여 광석 ·석탄 을 채굴하는 일.노천채굴(露天採掘)에 대응하는 말이다. 자원이 풍부하고 입지조건이 좋은 오스트레일리아와 같은 나라에는 작업하기 쉽고 비용이 적게 드는 노천굴 광산이 많지만, 한국에서는 석회석 ·쇄석(碎石) 채굴의 경우를 제외하고 노천채굴에 적합한 광상 ·탄층이 거의 없어 대부분이 갱내채굴 방식을 채택하고 있다. 갱내채굴의 장점은, ① 표토층이 두꺼워 노천채굴로 채산이 맞지 않는 광상이라도 유리하게 채굴할 수 있 고, ② 광맥이 가늘거나 불규칙한 광체(鑛體)에서도 채굴이 가 능하고, ③ 채굴가능 심도가 깊고(현재 세계에서 가장 깊은 갱 내막장은 지표면에서 수직으로 약 3,000m), ④ 한설 ·풍설 등 의 기후나 일기의 영향을 거의 받지 않으며, ⑤ 연중 고르게 조 업할 수 있다는 점 등이다. 막장 채굴방법은 탄광에서 장벽식(長 壁式) 채탄법, 금속광산에서 충전(充塡)채광법 ·슈링케이지법 (shrinkage stopping) ·공동법(空洞法) ·중단(中段)채광법 · 케이빙법 등이 있다. 갱내화재(坑內火災, mine fire)는 갱내에서의 나화, 끽연, 용접, 발파, 기기의 파열 및 마찰, 전기, 자연발화, 가스 및 탄진 폭발등의 화원을 인하여 발생하는 화재를 말한다.","坑內採掘, underground mining"
46,갱내화재,"갱내에서의 나화, 끽연, 용접, 발파, 기기의 파열 및 마찰, 전기, 자연발화, 가스 및 탄진 폭발등의 화원으로 인하여 발생하는 화재를 말한다.","坑內火災, mine fire"
47,갱도,"광산 ·탄광 또는 토목공사를 위하여 지하에 뚫어놓은 길. 지하에 부존하는 광상(鑛床) ·탄층에 이르러 그것을 채취하기 위해서나, 지하발전소(한국은 1980년 완공된 청평 양수발전소 등)의 건설을 위해 건설 지점에 이르기 위해서는 갱도가 필요하 다. 수직으로 파내려간 것을 수직갱 또는 수갱(竪坑)이라 하고, 경사지게 파내려간 것을 사갱(斜坑), 수평적인 것을 수평갱이라 한다. 광산에서는 갱외에서 직접 광상 ·탄층에 이르는 주요 갱도를 통동(通洞)이라고도 한다. 갱도는 목적 ·위치 ·크기 등에 따라 다양한 이름이 있다. 목적에 따라 탐광(探鑛)갱도 ·탐탄(探炭)갱도 ·채굴갱도 ·운반사갱 등이 있다. 위치 ·지명에 따라서 중앙수갱 ·350m 갱도 등이 있으며, 크기에 따라서는 대 수갱(大竪坑) ·복선갱도 등이 있다. 지하발전소 등에서도 목적 과 용도에 따라 주터널 ·케이블 터널(cable tunnel) 등의 이름을 붙인다. 크기는 단면적 4m2 정도에서부터 수백 t의 광석이나 석탄을 적재한 화물열차가 왕복하며 형광등(螢光燈)이 콘크리트 갱도벽을 조명하고 있는 대규모의 것 등 여러 가지가 있다.","坑道,mine shaft"
48,"갱도탐사(坑道探査,Tunnel pr-","수직, 수평 또는 경사진 갱도로 실시되며, 광맥에 대하여 나란히 또는 직각으로 시행한다.갱도로 굴진하는 탐사에 대하여 시추가 경제적이고 신속하기 때문에 흔히 시추 작업으로 땅 속의 광석이나 암석 상태를 알아보는 것이 일반적인 방법이다.","坑道探査,Tunnel pr-"
49,갱부,"광산 ·탄광 ·석유 광업소 등에서 관리직과 사무직원 등을 제외한 일반 노무자.갱부 중 갱내작업을 하는 사람을 갱내부라 하며 주된 직종은 직접채광 또는 채탄작업을 하는 채광(채탄)부, 광석 ·석탄 ·폐석(廢石) 등을 운반하는 운반부, 갱도(坑道)의 굴진 ·수리 등을 하는 굴진부, 지보작업(支保作業)을 하는 지주부(支柱夫), 기계류 ·전기계통의 보수유지를 담당하는 기계공 ·전기공 등이다. 갱외(坑外)작업을 하는 사람을 갱외부라 하며 운반부 ·선광(선탄)부, 기계 공장에서 일하는 기계공 ·전기공 등이 이에 속한다.","坑夫,miner"
50,갱외운반,"광산의 갱 밖 구내에서의 운반은 갱 안에서 운반된 광차나 벨트가 그대로 선광장까지 연장 운행되도록 되어 있으며, 선광장의 저광장에서 역에 마련된 저광장까지는 주로 자동차에 의하여 정광이나 석탄을 운반한다. 그러나, 운반해야 할 양이 적당하고 도로를 가설할 수가 없는 산간에서는 가공 삭도를 설치하게 된다. ""갱내운반"" 참고.",坑外運搬
51,건식,"착암기로서 천공하는 도중에 구멍 속에 생긴 돌가루를 배출시키는 방법에는 구멍 속에 물을 보내 주는 방법과, 공기를 불어 넣어 주는 방법이 있다.앞의 방법이 습식이며, 뒤의 방법이 건식이다. 대형의 천공기는 습식을 많이 사용한다.",乾式
52,건식선별,"비중 선별에서 물을 쓸 경우 습식 선별이라 하고, 공기를 이용할 때를 건식 선별이라 한다.",乾式選別
53,검탄,"목탄의 하나인 참숯. 백탄(白炭)에 비하여 굳기 ·연소 지속시간은 떨어지나, 발화점 이 250~400℃로 순간적인 화력은 강하다. 발열량은7,000~8,000cal/g이다. 대부분이 난방용 ·취사용 ·건조용 연료에 사용되었으나 이제는 거의 쓰지 않는다. 제탄공정 중 정련(精練) 때 최고 700℃ 정도에서 멎게 하고, 숯가마의 입구와 굴뚝을 막고 숯가마 안에서 소화(消火) ·냉각하면 얻어진다.","黔炭, charcoal"
54,게르마늄,"주기율표 제4B족에 속하는 탄소족원소. 원소기호 : Ge 원자번호 : 32 원자량 : 72.59 녹는점 : 958.5℃ 끓는점 : 2700℃ 비중 : 5.325(25℃) 1871년 D.I.멘델레예프가 에카 규소(珪素)로서 그 존재를 예언하 였으며, 86년에 독일의 화학자 C.빙클러, A.브라이하우프트가 아지로다이트(argyrodite) 속에서 발견하여, 독일의 라틴명인 Germania를 따서 게르마늄이라 명명하였다. 아지로다이트 ·게 르마나이트 등의 광석이 있으나 극히 드물다. 지각 속에는 넓고 얇게 분포되어 섬아연석(閃亞鉛石) ·황화동석 속에 약간 함유 되어 있고, 또 암석 속에서 규산염의 규소와 치환하여 미량(微 量)이 함유되어 있는데, 이 때문에 클라크수는 0.00065로 제43위 이다. 석탄 속에도 농축되어 존재하며, 식물에 흡수되어 존재하 는 경우도 많다. 【성질】 청색이 감도는 회백색의 단단한 금속으로 굳기는 불순 물에 따라 뚜렷한 차이가 나지만, 보통은 모스굳기로 6이다. 전 형적인 반도체로, 진성(眞性)반도체로 생각된다. 3가 또는 5가의 불순물 원자를 미량 함유할 때는 각각 p형 및 n형 반도체가 된다. 결정구조는 다이아몬드형이다. 공기 중에서는 안정하지만, 적열(赤熱) 이상으로 가열하면 산화 한다. 염산 ·묽은 황산에는 녹지 않지만, 왕수(王水) ·알칼리 용액(과산화수소 함유) 및 뜨거운 진한 황산 등에는 녹는다. 흔 히 2가 및 4가의 화합물을 만든다.",Germanium : Ge
55,경사습곡,"습곡축면(褶曲軸面)이 어떤 각도로 기울어진 습곡. 지층이 옆으로부터 압력을 받아 휘어질 때 한 방향의 압력이 상 대적으로 강하여 습곡축면이 기울어져 생긴다. 한편 대칭적으로 휜 지층의 습곡부에는 하나의 대칭축면을 기준으로 습곡축면이 있는데, 옆으로부터 받는 압력이 좌우균등인 경우 습곡축면은 수 직이 된다.",傾斜褶曲 inclined fold
56,경상누층군,"한국 남부의 대구·경주 지방에 잘 발달한 중생대 백악기의 지층.경상계라고도 한다. 경상누층군은 검은색 또는 붉은색의 역암 (礫岩)·사암·셰일 등이 두껍게 퇴적한 지층이며, 선캄브리아대 부터 중생대 초의 지층인 대동계(大同系)를 뚜렷한 부정합(不整 合)으로 덮고 있다. 이 계는 하부인 낙동통(洛東統)과 상부인 신 라통(新羅統)으로 나뉜다. 낙동통은 일부 지층을 제외하면 붉은색 셰일·사암·역암의 호층(互層)으로 되어 있고, 때로는 무연탄층이 협재(狹在)하며, 두께 약 4,000 m이다. 한편 신라통은 그 하부에 집괴암(集塊岩)과 붉은색 셰일·사암·역암으로 구성되어 있고, 두께는 약 3,600m이다. 신라통은 낙동통을 평행부정합으로 덮었으며, 널리 다른 지역에서도 다른 지층을 부정합으 로 덮는다.낙동통에서는 비해성패(非海成貝)의 화석 외에 Euestfheria류의 새우 화석이 산출되고, 신라통에 서는 쌍떡잎식물의 화석식물군 및 Trigonoides 등의 패류 화석 군이 산출된다.",慶尙漏層群
57,경상자,재해로 인한 부상정도가 3일 이상 4주미만의 치료를 요하게 된 자를 말한다.,輕傷者
58,경석,"채탄이나 선탄의 과정에서 선별의 결과 유용광물인 석탄이 아닌 파쇄된 암괴, 암편이나 슬라임 또는 산물을 말하며, 미광(尾鑛), 버럭, 폐석(廢石)이라고도 한다.","硬石, waste tailing"
59,계단식채굴법,"내부를 계단 모양으로 파들어가는 갱내채굴법. 상향식 계단채굴법과 하향식 계단채굴법이 있다. 상향식은 갱도 보다 위쪽을 향해 파올라가는 채굴법으로, 채굴장 천장이 계단 모양이 된다. 채굴할 때는 운반갱도 바로 위에 일부 광석상(鑛 石床)을 남겨 놓고 그보다 위를 채굴하는 경우와 광석상을 남겨 놓지 않고 곧바로 막장을 만드는 경우가 있다. 후자에서는 지주(支柱)를 짜고, 그 위에 버력을 쌓아 올려 채굴할 때 발판을 삼는다. 하향식은 갱도보다 아래쪽을 향해서 파내려가는 채굴법으로, 이 때는 채굴장이 계단 모양으로 된다. 계단의 높이는 1∼2.5m 정도, 채굴된 광석이 중력에 의해서 계단면을 굴러 아래쪽의 운반 갱도(坑道)로 낙하하도록, 그 면의 물매를 40° 이상으로 잡는다","階段式採掘法, bench cut mining method"
60,계속작업권,"석탄 개발 임시 조치법에 의하여 연간 30만톤 이상의 석탄을 생산할 수 있다고 인정되는 구역의 광구를 묶은 것을 탄좌로 설정하고 심부 개발을 효율적으로 하도록 했으므로, 이미 개발하고 있는 광업권자에게는 지상탄에 대하여 계속 작업을 할 수 있는 권리를 부여 하였다.굴진 증구나 계속 작업권 모두 광산의 합리적 개발을 위하여 광구의 변경을 가져오게 하는 조치라 할 수 있다.",繼續作業權
61,고령토,"고령토 광상은 1차 풍화잔류광상으로 회장암질이나 우백질화강암, 우백질편마암 등이 풍화되어 카오린화된 장소 혹은 그 인근에 잔류되어 광상이 형성된 것으로 하동, 산청, 가야지역의 고령토가 이에 해당된다. 카오린 광물은 Al2O3·2SiO2·2H2O의 기본 화학식을 가지며 동질이상체로 카오리나이트, 할로이사이트 등이 있다. 용도로는 도자기용, 내화물용, 화학공업 충진제용, 제지공업용등에 사용된다.","高嶺土, Kaoline"
62,고정조오,"광석을 필요에 따라 큰 것을 잘게 부수는 과정으로 조쇄, 중쇄, 및 분쇄의 세가지를 파분쇄라 하는데, 이중 조쇄과정에 사용되는 조쇄기에 파쇄되는 부분에 이용되는 부분.",Fixed jaw
63,골재,"건설공사에서 쓰이는 자갈이나 모래 따위의 재료를 골재라 하는데 골재채취법 및 한국산업규격에서 규정하고 있는 골재의 정의는 다음과 같다.①골재채취법(제2조1항)정의:골재라 함은 하천, 산림, 공유수면, 기타 지상·지하 등에 부존되어 있는 암석(쇄석용에 한함), 모래, 자갈로서 건설공사의 기초재로 쓰이는 것을 말한다.②한국산업규격(kS F 2522) 정의:콘크리트, 모르타르, 석회반죽, 역청질 혼합물 등과 같이 결합재에 의하여 뭉쳐서 한 덩어리를 이룰 수 있는 건설용 광물질 재료로서 화학적으로 인정한 것을 말한다. 다만, 물, 혼합재 및 결합재는 제외한다.",骨材
64,공기력선별,"공기의 흐름을 이용하여 광물을 비중 또는 바람에 날리는 정도의 차이에 따라서 광물을 선별하는 방법이 공기력 선별이다. 여기에는 공기력 지그, 공기력 테이블 등이 고안되어 사금 처리와 선탄에 이따금 사용되고 있다.",空氣力選別
65,공기분급기,건식으로 처리하는 것으로서 풍력에 의하여 작은 알갱이와 굵은 알갱이를 분급하는 기계이다.,空氣分級機
66,공기압축기,주로 갱내채굴용 기계의 동력원으로 사용되는 압축공기를 제조하는 기계를 말한다.,"空氣壓縮機, Air compressor"
67,공기저장조,"압축기에는 그 용량에 적합한 크기의 공기 저장조를 비치 한다. 이것은 왕복식에서는 배출 압력을 일정하게 하기 위함이고, 일반적으로는 압축기에 걸리는 하중의 평형을 유지하기 위함이다. 이 저장조에는 안전 밸브, 압력계, 드레인 콕 등이 붙어 있으며, 대형 저장조는 청소할 때 사람이 들어 갈 수 있게 만들어져 있다.",
68,공업 뇌관,"뇌관 몸체를 구리로 만든 것과 알루미늄으로 만든 것 등이 있으며, 뇌홍(풀민산수은)뇌관. 혼성 뇌관, 아지화납 뇌관 및 디아조디니트로페놀 뇌관 등이 있다.",
